"cluster","gene","log2 fold change","p-value","Upper bound","Lower bound"
"2","EDNRB",1.57177035474979,0.00574575955190475,2.20652376724489,0.876564236302764
"2","WDR91",1.60199670772574,0.00574575955190475,2.50878729700447,0.906790589278723
"2","PAMR1",2.17629741426894,0.00636552726626447,9.70265930528234,0.997469648206594
"2","RAF1",-10.1862809528977,0.00678185854963274,-9.55152754040256,-10.3676390707534
"2","TTYH1",9.67243295230639,0.00678185854963274,10.2467336588496,8.8865477749315
"2","MT1F",9.58175389337852,0.0073154948307483,10.1862809528976,1.02769600118255
"3","CKB",-11.2442033070562,3.19275050841838e-09,-10.7303553064649,-11.4255614249119
"3","CRISPLD2",9.79333836421021,3.19275050841838e-09,10.6094498945611,9.06790589278723
"3","PDGFRA",10.5489971886091,3.19275050841838e-09,11.0326188362245,3.83874682794658
"3","SYT1",-11.0023924832485,1.53362492705257e-08,-10.4885444826572,-11.2139769540802
"3","KIF1A",-10.5187708356332,1.53118162815602e-07,-9.94447012908999,-10.7303553064649
"3","PGM2L1",-10.4885444826572,1.53118162815602e-07,-9.94447012908999,-10.7605816594408
"3","NEDD4L",-10.4280917767053,6.05009449967353e-07,-9.82356471718617,-10.639676247537
"3","CA10",10.1258282469457,1.18653167005614e-06,10.5187708356332,3.59693600413893
"3","GABBR2",-10.3374127177775,1.20307373411658e-06,-9.76311201123425,-10.5489971886091
"3","DCLK1",-10.2769600118255,3.14833488679336e-06,-9.70265930528234,-10.4885444826572
"3","CXCL14",-10.2769600118255,3.47867208759896e-06,-9.67243295230639,-10.4885444826572
"3","CNR1",-10.2467336588496,4.45535553783572e-06,-9.64220659933043,-10.4583181296813
"3","NELL2",-10.1862809528977,8.62357626886842e-06,-9.61198024635447,-10.3978654237294
"3","ROBO2",-10.1560545999217,8.63176320534516e-06,-9.58175389337852,-10.3978654237294
"3","LHFPL3",3.14354070949957,9.18897536598159e-06,3.95965223985044,1.87403388450936
"3","CCK",-10.1862809528977,1.07619872778409e-05,-9.58175389337852,-10.3676390707534
"3","LAMTOR4",-10.1258282469457,1.17556577313389e-05,-9.55152754040256,-10.3676390707534
