"gene","Dim.1","Dim.2","Dim.3"
"ABHD14B",0.414790910032379,0.0151762197122761,-0.0845733428050289
"ABHD15",0.0338649762360161,0.131183652754018,0.121255078588952
"ABHD16A",9.71364838659813e-16,2.26312090111341e-15,-3.39258983999361e-15
"ABHD16B",7.06937344990166e-16,7.88041790010225e-16,-7.70328199745319e-15
"ABHD17A",0.683699519818331,-0.143138487111392,0.0159427478978279
"ABHD17B",0.134122198164507,0.0637299998305432,0.0780041925204722
"ABHD17C",0.183617470015199,0.110622195616624,0.105268953071419
"ABHD2",0.13640010250504,0.268678883895701,-0.05882375149595
"ABHD3",0.187243405612137,-0.00886787060725596,-0.161201212967812
"ABHD4",0.0111795775880774,0.0636683126536208,0.125145747172343
"ABHD5",0.0198931716524692,0.158099131121852,0.0140185178094703
"ABHD6",0.242557245701675,0.269613870737506,0.109803995709487
