"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.58799513781216e-12,4.65879833994486,0.4,0.043,1.86160513595761e-07,"9","IL4R"
9.73498134823453e-12,3.16657629476229,0.85,0.29,1.89014397857322e-07,"9","MGAT1"
1.33953405426737e-11,4.80511259949198,0.6,0.118,2.60083931976553e-07,"9","STX11"
1.37261675629079e-11,4.71426313860086,0.45,0.059,2.6650726940142e-07,"9","NCKAP1L"
1.38372551669677e-11,5.59716955562255,0.3,0.023,2.68664146321845e-07,"9","CCRL2"
1.40981486491695e-11,3.05803310352292,0.95,0.491,2.73729654172275e-07,"9","SOCS6"
1.4207389585725e-11,2.74711607681585,0.9,0.448,2.75850676196437e-07,"9","EPB41L2"
1.4959014115794e-11,2.75316838083749,0.95,0.439,2.90444218072257e-07,"9","SPTLC2"
2.17760947410554e-11,3.95396428950275,0.45,0.059,4.22804655492332e-07,"9","NFKBID"
2.24196235671274e-11,4.91991351835353,0.3,0.023,4.35299411179345e-07,"9","TFEC"
2.37924378544897e-11,3.42949042106127,0.5,0.075,4.61953973382772e-07,"9","ARHGAP27"
2.97130494344447e-11,7.37131706514214,0.1,0,5.76908567819178e-07,"9","HAVCR1"
2.97130494344447e-11,6.86920723788461,0.1,0,5.76908567819178e-07,"9","LILRB2"
2.97130494344447e-11,6.32976946372908,0.1,0,5.76908567819178e-07,"9","NCF1"
2.97130494344447e-11,6.45873307922341,0.1,0,5.76908567819178e-07,"9","OXER1"
2.97130494344447e-11,8.07214475297827,0.1,0,5.76908567819178e-07,"9","RGS13"
2.97130494344447e-11,6.06976822398683,0.1,0,5.76908567819178e-07,"9","SPRR2G"
2.97671464947907e-11,2.41063622190699,0.9,0.407,5.77958916342856e-07,"9","ANXA5"
3.439236949886e-11,2.60436330660163,0.9,0.376,6.67762246189867e-07,"9","WASF2"
4.53317871169874e-11,3.02585455685194,0.8,0.247,8.80161978663426e-07,"9","ACSL1"
5.33706789587155e-11,3.46591786341483,0.5,0.077,1.03624510266242e-06,"9","ITPRIP"
6.7295731827461e-11,2.11480090907339,1,0.568,1.30661392916198e-06,"9","RIN2"
6.78895067428629e-11,5.68041933577561,0.25,0.016,1.31814266291943e-06,"9","CLEC17A"
6.78895067428629e-11,5.4548880203057,0.25,0.016,1.31814266291943e-06,"9","RGS18"
7.13875705571208e-11,5.1993635923414,0.3,0.025,1.38606106993706e-06,"9","WAS"
8.01125616957875e-11,5.78113645763756,0.25,0.016,1.55546549788541e-06,"9","SPHK1"
8.37658426906647e-11,3.48667816301226,0.55,0.095,1.62639760168195e-06,"9","ELK3"
1.01202270776268e-10,4.26791296451867,0.45,0.066,1.96494328939201e-06,"9","EDN1"
1.0984408752608e-10,6.4163721328212,0.2,0.009,2.13273280340637e-06,"9","ALPK2"
1.0984408752608e-10,6.84289533361425,0.2,0.009,2.13273280340637e-06,"9","TNF"
1.15475350774465e-10,5.65827213804634,0.2,0.009,2.24206941063702e-06,"9","VMO1"
1.20291228164872e-10,3.2127694801027,0.3,0.025,2.33557448604916e-06,"9","PCED1B"
1.40072314399455e-10,4.21680367022616,0.55,0.104,2.71964405637981e-06,"9","INPP5D"
1.55686978244915e-10,4.98734888188764,0.2,0.009,3.02281836960327e-06,"9","CYTL1"
1.74704998351337e-10,4.61951709256859,0.4,0.052,3.39207224798956e-06,"9","TRIM22"
1.78659677649328e-10,4.97263141120555,0.6,0.136,3.46885630123935e-06,"9","SIGLEC10"
1.81813028858562e-10,3.63316980402098,0.3,0.025,3.53008176831784e-06,"9","OLFML3"
1.87215194749155e-10,4.21734666510387,0.5,0.086,3.6349702212496e-06,"9","IRAG2"
2.84888081625495e-10,4.11585989960128,0.5,0.088,5.53138699284061e-06,"9","TNFRSF1B"
3.70470284846771e-10,2.52871945793957,0.9,0.432,7.19305105058491e-06,"9","MSN"
4.3102363617705e-10,3.04107324685346,0.6,0.129,8.3687549200136e-06,"9","LPL"
4.49847450330418e-10,2.37977382667533,0.9,0.378,8.7342380956154e-06,"9","STK17B"
4.60508941363312e-10,2.89884277871129,0.85,0.357,8.94124160551006e-06,"9","DUSP6"
5.502627700183e-10,2.35290226316205,0.95,0.572,1.06839019426753e-05,"9","PEAK1"
5.59471800176481e-10,1.21678407793304,1,0.946,1.08627044722266e-05,"9","FTH1"
5.81328711803426e-10,5.13525506384378,0.25,0.018,1.12870782683753e-05,"9","BTK"
6.81141721137485e-10,2.27637974245239,0.95,0.482,1.32250476576054e-05,"9","RASGEF1B"
6.9439901479898e-10,6.55896453493537,0.15,0.005,1.3482451271337e-05,"9","ABI3"
6.9439901479898e-10,5.94084709725635,0.15,0.005,1.3482451271337e-05,"9","RAB7B"
6.9439901479898e-10,7.29235610850606,0.15,0.005,1.3482451271337e-05,"9","STXBP2"
7.25078090287532e-10,1.51433560749531,1,0.819,1.40781162010227e-05,"9","ITM2B"
7.46128624261586e-10,1.94458479829282,0.95,0.654,1.44868333686629e-05,"9","SRGAP2"
7.93985605006992e-10,5.09569504788961,0.45,0.075,1.54160245068158e-05,"9","TMEM156"
7.96228860039171e-10,4.21433122330246,0.4,0.057,1.54595795465205e-05,"9","CYBA"
8.13909891975314e-10,2.38773558732756,0.95,0.473,1.58028744625927e-05,"9","BHLHE41"
8.48174124915726e-10,4.28522915557416,0.25,0.018,1.64681488093637e-05,"9","TNFRSF12A"
9.20217568263667e-10,5.72675659965257,0.4,0.057,1.78669443054074e-05,"9","RHOH"
9.28496423058083e-10,3.6179996607639,0.4,0.054,1.80276865500957e-05,"9","CPED1"
9.43675134463278e-10,4.10966473028966,0.45,0.075,1.8322396410739e-05,"9","FFAR4"
1.01358218091697e-09,1.26661709539659,1,0.907,1.96797116246839e-05,"9","TPT1"
1.01953188561554e-09,2.37533416852239,0.9,0.355,1.97952310911113e-05,"9","SLC25A37"
1.09059490631507e-09,4.09250645919458,0.65,0.19,2.11749907010133e-05,"9","TNFRSF13C"
1.09696704826346e-09,4.71595792066126,0.45,0.075,2.12987122090833e-05,"9","ADGRE2"
1.11353424585561e-09,2.57275495484569,0.95,0.572,2.16203809175325e-05,"9","IL1RAP"
1.17138198835012e-09,4.54719383334791,0.3,0.029,2.27435526858059e-05,"9","SLC15A3"
1.23927678824719e-09,5.34440721134796,0.35,0.043,2.40617981206075e-05,"9","NCF2"
1.24639085588594e-09,4.96228282132529,0.3,0.029,2.41999248578814e-05,"9","GPAT3"
1.26494546827552e-09,2.83915118760692,0.75,0.256,2.45601812120376e-05,"9","GLDN"
1.3178189738505e-09,1.34685354185333,1,0.867,2.55867731962812e-05,"9","PABPC1"
1.36969575910444e-09,1.22249540180612,1,0.912,2.65940128587718e-05,"9","RPS6"
1.41135972578068e-09,1.15682681566928,1,0.946,2.74029604357576e-05,"9","TMSB4X"
1.56320180341367e-09,2.48289565596516,0.9,0.468,3.03511262150797e-05,"9","SMAP2"
1.75707116707217e-09,5.277825712206,0.2,0.011,3.41152937798733e-05,"9","CASP4"
1.97837142140122e-09,2.16072191722221,0.9,0.452,3.84120595179261e-05,"9","AKAP13"
2.00039811756434e-09,2.30963951818484,0.95,0.514,3.88397298506293e-05,"9","GSN"
2.32519824626195e-09,4.59815742703605,0.4,0.061,4.51460491494221e-05,"9","SLC11A1"
2.42298842154398e-09,3.58434418498269,0.6,0.154,4.7044743192698e-05,"9","PRDM1"
2.46764940564922e-09,1.91029155221602,0.95,0.661,4.79118808600852e-05,"9","EML4"
2.52998632894194e-09,1.99215061550735,0.95,0.527,4.91222145627367e-05,"9","MEF2A"
2.80528754392177e-09,1.06462759228374,1,0.962,5.4467462952785e-05,"9","RPL21"
